candidate_query,normalized_intent,body_area,symptom,situation,timing,closest_existing_url,closest_existing_topic,overlap_risk,unique_intent,medical_value,commercial_relevance,funnel_target_url,red_flag_sensitivity,recommended_action,priority,notes
immer zur gleichen Uhrzeit aufwachen,schlaf: aufwachen immer zur gleichen uhrzeit,Schlaf,Aufwachen,immer zur gleichen Uhrzeit,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,medium,CREATE,P2,P2: eigener populärer Intent. WICHTIG: KEINE Organuhr-/Meridian-Erklärung (Brand-Verbot energetischer Sprache) — Schlafarchitektur/Cortisol/Alkohol zuerst; TCM höchstens als traditionelles Modell eingeordnet. Wenn nicht tragfähig: verwerfen.
Schleim sitzt im Hals ständig,schleim: sitzt im hals ständig,Schleim,sitzt im Hals,ständig,,/beschwerden/sodbrennen/,Sodbrennen & Reflux,medium,yes,medium,medium,/beschwerden/sodbrennen/,none,SUPPORTING_SECTION,P2,P2: gehört auf dieselbe Kandidaten-Seite wie ständiges Räuspern — nicht separat bauen.
Schwindel beim Aufstehen aus dem Sitzen,schwindel: tritt auf beim aufstehen aus dem sitzen,Schwindel,tritt auf,beim Aufstehen aus dem Sitzen,,/beschwerden/schwindel/,Schwindel,high,no,medium,low,/beschwerden/schwindel/,medium,CREATE,P2,"P2: orthostatisches Muster (Kreislauf statt Vestibulärorgan); nur bauen wenn BPLS-Seite (P1) funktioniert, sonst Abschnitt auf /beschwerden/schwindel/. UMGESETZT 09/2026 als /koerpersignale/schwindel-beim-aufstehen/."
Zunge brennt abends,zunge: brennt abends,Zunge,brennt,abends,abends,/beschwerden/wechseljahre/,Wechseljahre,low,yes,medium,medium,/beschwerden/wechseljahre/,medium,CREATE,P2,"P2: Burning-Mouth-Muster (oft Frauen 50+); Zungendiagnose nur nüchtern erwähnen. Links: wechseljahre, eisenmangel. UMGESETZT 09/2026 als /koerpersignale/zungenbrennen/."
Arm wird taub beim Hochhalten,arm: wird taub beim hochhalten,Arm,wird taub,beim Hochhalten,,/beschwerden/karpaltunnelsyndrom/,Karpaltunnelsyndrom,low,yes,medium,medium,/beschwerden/karpaltunnelsyndrom/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Arm wird taub beim Schlafen auf der Seite,arm: wird taub beim schlafen auf der seite,Arm,wird taub,beim Schlafen auf der Seite,,/beschwerden/karpaltunnelsyndrom/,Karpaltunnelsyndrom,low,yes,medium,medium,/beschwerden/karpaltunnelsyndrom/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Arm wird taub beim Telefonieren,arm: wird taub beim telefonieren,Arm,wird taub,beim Telefonieren,,/beschwerden/karpaltunnelsyndrom/,Karpaltunnelsyndrom,low,yes,medium,medium,/beschwerden/karpaltunnelsyndrom/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Auge druckt einseitig,auge: druckt einseitig,Auge,druckt,einseitig,,/beschwerden/sinusitis/,Sinusitis,low,yes,medium,medium,/beschwerden/sinusitis/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Auge druckt hinter dem Auge,auge: druckt hinter dem auge,Auge,druckt,hinter dem Auge,,/beschwerden/sinusitis/,Sinusitis,low,yes,medium,medium,/beschwerden/sinusitis/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augen sind trocken am Bildschirm,augen: sind trocken am bildschirm,Augen,sind trocken,am Bildschirm,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,P3: Office-Eye-Muster; kommerziell schwach für TCM.
Augen sind trocken beim Aufwachen,augen: sind trocken beim aufwachen,Augen,sind trocken,beim Aufwachen,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augen sind trocken morgens,augen: sind trocken morgens,Augen,sind trocken,morgens,morgens,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augenlid zuckt bei Müdigkeit,augenlid: zuckt bei müdigkeit,Augenlid,zuckt,bei Müdigkeit,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augenlid zuckt bei Stress,augenlid: zuckt bei stress,Augenlid,zuckt,bei Stress,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augenlid zuckt immer wieder,augenlid: zuckt immer wieder,Augenlid,zuckt,immer wieder,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augenringe fallen auf dunkler werdend,augenringe: fallen auf dunkler werdend,Augenringe,fallen auf,dunkler werdend,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,yes,medium,medium,/beschwerden/eisenmangel/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Augenringe fallen auf seit Monaten,augenringe: fallen auf seit monaten,Augenringe,fallen auf,seit Monaten,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,yes,medium,medium,/beschwerden/eisenmangel/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Bein wird taub beim Schneidersitz,bein: wird taub beim schneidersitz,Bein,wird taub,beim Schneidersitz,,/beschwerden/ischias/,Ischias,low,yes,medium,medium,/beschwerden/ischias/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Bein wird taub beim Sitzen,bein: wird taub beim sitzen,Bein,wird taub,beim Sitzen,,/beschwerden/ischias/,Ischias,low,yes,medium,medium,/beschwerden/ischias/,medium,REVIEW_MANUALLY,P3,"P3: meist harmlos (Druck), Abgrenzung zu ischias nötig."
Bein wird taub beim Sitzen auf der Toilette,bein: wird taub beim sitzen auf der toilette,Bein,wird taub,beim Sitzen auf der Toilette,,/beschwerden/ischias/,Ischias,low,yes,medium,medium,/beschwerden/ischias/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Blase drückt bei Kälte,blase: drückt bei kälte,Blase,drückt,bei Kälte,,/beschwerden/reizblase/,Reizblase,high,no,medium,low,/beschwerden/reizblase/,none,REVIEW_MANUALLY,P3,P3: reizblase deckt den Kern; Kälte-Muster als Abschnitt dort.
Druck sitzt im Ohr beim Bücken,druck: sitzt im ohr beim bücken,Druck,sitzt im Ohr,beim Bücken,,/beschwerden/hoersturz/,Hörsturz,medium,yes,medium,medium,/beschwerden/hoersturz/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Druck sitzt im Ohr beim Fliegen dauerhaft,druck: sitzt im ohr beim fliegen dauerhaft,Druck,sitzt im Ohr,beim Fliegen dauerhaft,,/beschwerden/hoersturz/,Hörsturz,medium,yes,medium,medium,/beschwerden/hoersturz/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Druck sitzt im Ohr seit der Erkältung,druck: sitzt im ohr seit der erkältung,Druck,sitzt im Ohr,seit der Erkältung,,/beschwerden/hoersturz/,Hörsturz,medium,yes,medium,medium,/beschwerden/hoersturz/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Finger sind steif bei Kälte,finger: sind steif bei kälte,Finger,sind steif,bei Kälte,,/beschwerden/arthrose/,Arthrose,low,yes,medium,medium,/beschwerden/arthrose/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Finger sind steif morgens,finger: sind steif morgens,Finger,sind steif,morgens,morgens,/beschwerden/arthrose/,Arthrose,low,yes,medium,medium,/beschwerden/arthrose/,none,REVIEW_MANUALLY,P3,P3: Morgensteifigkeit = Arthrose/Rheuma-Kernsymptom — hohe Überlappung; eher Abschnitt auf arthrose/rheuma.
Finger sind steif nach dem Aufwachen,finger: sind steif nach dem aufwachen,Finger,sind steif,nach dem Aufwachen,,/beschwerden/arthrose/,Arthrose,low,yes,medium,medium,/beschwerden/arthrose/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Frieren tritt auf an Händen und Füssen,frieren: tritt auf an händen und füssen,Frieren,tritt auf,an Händen und Füssen,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,medium,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Frieren tritt auf ständig,frieren: tritt auf ständig,Frieren,tritt auf,ständig,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,medium,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Frieren tritt auf trotz Sommer,frieren: tritt auf trotz sommer,Frieren,tritt auf,trotz Sommer,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,medium,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Fussgelenk knickt um auf unebenem Boden,fussgelenk: knickt um auf unebenem boden,Fussgelenk,knickt um,auf unebenem Boden,,/beschwerden/knieschmerzen/,Knieschmerzen,medium,yes,medium,medium,/beschwerden/knieschmerzen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Fussgelenk knickt um beim Gehen,fussgelenk: knickt um beim gehen,Fussgelenk,knickt um,beim Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,medium,yes,medium,medium,/beschwerden/knieschmerzen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Fussgelenk knickt um immer wieder,fussgelenk: knickt um immer wieder,Fussgelenk,knickt um,immer wieder,,/beschwerden/knieschmerzen/,Knieschmerzen,medium,yes,medium,medium,/beschwerden/knieschmerzen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Fusssohle brennt abends,fusssohle: brennt abends,Fusssohle,brennt,abends,abends,/beschwerden/plantarfasziitis/,Plantarfasziitis,medium,yes,medium,medium,/beschwerden/plantarfasziitis/,medium,REVIEW_MANUALLY,P3,P3: Plantar-/PNP-Differential; polyneuropathie deckt Brennen nachts bereits teilweise.
Fusssohle brennt beim Stehen,fusssohle: brennt beim stehen,Fusssohle,brennt,beim Stehen,,/beschwerden/plantarfasziitis/,Plantarfasziitis,medium,yes,medium,medium,/beschwerden/plantarfasziitis/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Fusssohle brennt nach langem Gehen,fusssohle: brennt nach langem gehen,Fusssohle,brennt,nach langem Gehen,,/beschwerden/plantarfasziitis/,Plantarfasziitis,medium,yes,medium,medium,/beschwerden/plantarfasziitis/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Füsse sind kalt nachts im Bett,füsse: sind kalt nachts im bett,Füsse,sind kalt,nachts im Bett,nachts,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,low,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Füsse sind kalt trotz Socken,füsse: sind kalt trotz socken,Füsse,sind kalt,trotz Socken,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,low,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals Klossgefühl bei Stress,hals: klossgefühl bei stress,Hals,Klossgefühl,bei Stress,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals Klossgefühl beim Schlucken,hals: klossgefühl beim schlucken,Hals,Klossgefühl,beim Schlucken,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals Klossgefühl seit Wochen,hals: klossgefühl seit wochen,Hals,Klossgefühl,seit Wochen,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals fühlt sich eng an bei Stress,hals: fühlt sich eng an bei stress,Hals,fühlt sich eng an,bei Stress,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals fühlt sich eng an beim Schlucken,hals: fühlt sich eng an beim schlucken,Hals,fühlt sich eng an,beim Schlucken,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals fühlt sich eng an ohne Erkältung,hals: fühlt sich eng an ohne erkältung,Hals,fühlt sich eng an,ohne Erkältung,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals ständiges Räuspern nach dem Essen,hals: ständiges räuspern nach dem essen,Hals,ständiges Räuspern,nach dem Essen,,/beschwerden/sodbrennen/,Sodbrennen & Reflux,low,yes,medium,medium,/beschwerden/sodbrennen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hals ständiges Räuspern ohne Erkältung,hals: ständiges räuspern ohne erkältung,Hals,ständiges Räuspern,ohne Erkältung,,/beschwerden/sodbrennen/,Sodbrennen & Reflux,low,yes,medium,medium,/beschwerden/sodbrennen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hand kribbelt beim Fahrradfahren,hand: kribbelt beim fahrradfahren,Hand,kribbelt,beim Fahrradfahren,,/beschwerden/karpaltunnelsyndrom/,Karpaltunnelsyndrom,medium,yes,medium,medium,/beschwerden/karpaltunnelsyndrom/,medium,REVIEW_MANUALLY,P3,"P3: Ulnaris-Muster, abgrenzbar von KTS — ABER do-not-create blockiert ""eingeschlafene Hände""; nur mit GSC-Beleg als Differential-Artikel."
Hand schläft ein beim Fahrradfahren,hand: schläft ein beim fahrradfahren,Hand,schläft ein,beim Fahrradfahren,,/beschwerden/karpaltunnelsyndrom/,Karpaltunnelsyndrom,medium,yes,medium,medium,/beschwerden/karpaltunnelsyndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Haut juckt nach dem Duschen,haut: juckt nach dem duschen,Haut,juckt,nach dem Duschen,,/beschwerden/neurodermitis/,Neurodermitis,low,yes,medium,medium,/beschwerden/neurodermitis/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Haut juckt nachts,haut: juckt nachts,Haut,juckt,nachts,nachts,/beschwerden/neurodermitis/,Neurodermitis,low,yes,medium,medium,/beschwerden/neurodermitis/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Haut juckt ohne Ausschlag,haut: juckt ohne ausschlag,Haut,juckt,ohne Ausschlag,,/beschwerden/neurodermitis/,Neurodermitis,low,yes,medium,medium,/beschwerden/neurodermitis/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Herz rast beim Einschlafen,herz: rast beim einschlafen,Herz,rast,beim Einschlafen,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Herz rast nachts beim Aufwachen,herz: rast nachts beim aufwachen,Herz,rast,nachts beim Aufwachen,nachts,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Herz rast ohne Anstrengung,herz: rast ohne anstrengung,Herz,rast,ohne Anstrengung,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Herz stolpert abends zur Ruhe kommend,herz: stolpert abends zur ruhe kommend,Herz,stolpert,abends zur Ruhe kommend,abends,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Herz stolpert bei Stress,herz: stolpert bei stress,Herz,stolpert,bei Stress,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Herz stolpert nach Kaffee,herz: stolpert nach kaffee,Herz,stolpert,nach Kaffee,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Husten bleibt nach Erkältung,husten: bleibt nach erkältung,Husten,bleibt,nach Erkältung,,/beschwerden/asthma/,Asthma,medium,yes,medium,medium,/beschwerden/asthma/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Husten bleibt nur nachts,husten: bleibt nur nachts,Husten,bleibt,nur nachts,nachts,/beschwerden/asthma/,Asthma,medium,yes,medium,medium,/beschwerden/asthma/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Husten bleibt trocken seit Wochen,husten: bleibt trocken seit wochen,Husten,bleibt,trocken seit Wochen,,/beschwerden/asthma/,Asthma,medium,yes,medium,medium,/beschwerden/asthma/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hände sind kalt auch im Sommer,hände: sind kalt auch im sommer,Hände,sind kalt,auch im Sommer,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,low,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hände sind kalt bei Stress,hände: sind kalt bei stress,Hände,sind kalt,bei Stress,,/beschwerden/raynaud-syndrom/,Raynaud-Syndrom,low,yes,medium,medium,/beschwerden/raynaud-syndrom/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hände zittern bei Aufregung,hände: zittern bei aufregung,Hände,zittern,bei Aufregung,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hände zittern beim Halten einer Tasse,hände: zittern beim halten einer tasse,Hände,zittern,beim Halten einer Tasse,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Hände zittern seit Wochen,hände: zittern seit wochen,Hände,zittern,seit Wochen,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,high,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Knie knackt beim Aufstehen,knie: knackt beim aufstehen,Knie,knackt,beim Aufstehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,yes,medium,medium,/beschwerden/knieschmerzen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Knie knackt beim In-die-Hocke-Gehen,knie: knackt beim in-die-hocke-gehen,Knie,knackt,beim In-die-Hocke-Gehen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,yes,medium,medium,/beschwerden/knieschmerzen/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Knie knackt beim Treppensteigen,knie: knackt beim treppensteigen,Knie,knackt,beim Treppensteigen,,/beschwerden/knieschmerzen/,Knieschmerzen,low,yes,medium,medium,/beschwerden/knieschmerzen/,none,REVIEW_MANUALLY,P3,P3: Krepitation meist harmlos; eher Abschnitt auf knieschmerzen.
Konzentration lässt nach ab Mittag,konzentration: lässt nach ab mittag,Konzentration,lässt nach,ab Mittag,,/beschwerden/erschoepfung/,Erschöpfung,medium,yes,medium,medium,/beschwerden/erschoepfung/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Konzentration lässt nach im Gespräch,konzentration: lässt nach im gespräch,Konzentration,lässt nach,im Gespräch,,/beschwerden/erschoepfung/,Erschöpfung,medium,yes,medium,medium,/beschwerden/erschoepfung/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Konzentration lässt nach seit Monaten,konzentration: lässt nach seit monaten,Konzentration,lässt nach,seit Monaten,,/beschwerden/erschoepfung/,Erschöpfung,medium,yes,medium,medium,/beschwerden/erschoepfung/,medium,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Kopf schmerzt beim Husten,kopf: schmerzt beim husten,Kopf,schmerzt,beim Husten,,/beschwerden/kopfschmerzen/,Kopfschmerzen,medium,yes,high,medium,/beschwerden/kopfschmerzen/,high,REVIEW_MANUALLY,P3,P3 nur mit strengem Red-Flag-Rahmen: Husten-/Anstrengungskopfschmerz gehört erstmalig ärztlich abgeklärt.
Kopfhaut kribbelt bei Stress,kopfhaut: kribbelt bei stress,Kopfhaut,kribbelt,bei Stress,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Kopfhaut kribbelt seit Tagen,kopfhaut: kribbelt seit tagen,Kopfhaut,kribbelt,seit Tagen,,/beschwerden/stress-burnout/,Stress & Burnout,low,yes,medium,medium,/beschwerden/stress-burnout/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
Körper fröstelt ständig,körper: fröstelt ständig,Körper,fröstelt,ständig,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,low,yes,medium,medium,/beschwerden/eisenmangel/,none,REVIEW_MANUALLY,P3,Muster-Intent plausibel eigenständig; manuell prüfen.
