url,publication_date,cluster,target_intent,owner_status,sitemap,indexable,canonical_ok,gsc_status
/gesundheitsbibliothek/befunde-werte/haemoglobin-zu-hoch/,2026-09-24,befunde-werte,Einordnung Laborwert Hämoglobin zu hoch,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/monozyten-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Monozyten erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/eosinophile-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Eosinophile erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/basophile-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Basophile erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/ldh-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert LDH erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/lipase-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Lipase erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/amylase-erhoeht/,2026-09-24,befunde-werte,Einordnung Laborwert Amylase erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/natrium-zu-hoch/,2026-09-24,befunde-werte,Einordnung Laborwert Natrium zu hoch,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/calcium-zu-hoch/,2026-09-24,befunde-werte,Einordnung Laborwert Calcium zu hoch,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/sport-nach-akupunktur/,2026-09-24,fragen,Sport nach Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/schwimmen-nach-akupunktur/,2026-09-24,fragen,Schwimmen nach Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/alkohol-nach-akupunktur/,2026-09-24,fragen,Alkohol nach Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/schmerzen-nach-akupunktur-schlimmer/,2026-09-24,fragen,Staerkere Schmerzen nach Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/schroepfen-nebenwirkungen/,2026-09-24,fragen,Schroepfen Nebenwirkungen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/tut-schroepfen-weh/,2026-09-24,fragen,Tut Schroepfen weh,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/tuina-nebenwirkungen/,2026-09-24,fragen,Tuina Nebenwirkungen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/tcm-kraeuter-nebenwirkungen/,2026-09-24,fragen,TCM-Kraeuter Nebenwirkungen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/tcm-kraeuter-erstverschlimmerung/,2026-09-24,fragen,Erstverschlimmerung durch TCM-Kraeuter,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/essen-vor-akupunktur/,2026-09-24,fragen,Essen vor Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/kleidung-akupunktur/,2026-09-24,fragen,Kleidung bei Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/wie-lange-dauert-akupunktur/,2026-09-24,fragen,Dauer einer Akupunkturbehandlung,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/wie-viele-akupunkturnadeln/,2026-09-24,fragen,Anzahl Akupunkturnadeln,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/wie-tief-akupunkturnadeln/,2026-09-24,fragen,Einstichtiefe Akupunkturnadeln,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/angst-vor-akupunktur-nadeln/,2026-09-24,fragen,Angst vor Akupunkturnadeln,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/ueberweisung-akupunktur/,2026-09-24,fragen,Ueberweisung fuer Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/wie-oft-akupunktur/,2026-09-24,fragen,Frequenz der Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/fragen/wann-wirkt-akupunktur/,2026-09-24,fragen,Wirkungseintritt Akupunktur,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/dumpfes-gefuehl-im-ohr/,2026-09-25,koerpersignale,Dumpfes Gefühl im Ohr,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/kribbeln-im-nacken/,2026-09-25,koerpersignale,Kribbeln im Nacken,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/harter-unterbauch/,2026-09-25,koerpersignale,Harter Unterbauch,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/kribbeln-im-mund/,2026-09-25,koerpersignale,Kribbeln im Mund,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/taube-zunge/,2026-09-25,koerpersignale,Taube Zunge,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/morgens-flacher-bauch-abends-dicker/,2026-09-25,koerpersignale,Bauch morgens flach abends dick,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/kreatinin-erhoeht/,2026-09-25,befunde-werte,Kreatinin erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/mcv-erhoeht/,2026-09-25,befunde-werte,MCV erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/erythrozyten-niedrig/,2026-09-25,befunde-werte,Erythrozyten niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/leukozyten-niedrig/,2026-09-25,befunde-werte,Leukozyten niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/thrombozyten-niedrig/,2026-09-25,befunde-werte,Thrombozyten niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/harnstoff-erhoeht/,2026-09-25,befunde-werte,Harnstoff erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/mchc-niedrig/,2026-09-25,befunde-werte,MCHC niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/tsh-niedrig/,2026-09-25,befunde-werte,TSH niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/haematokrit-erhoeht/,2026-09-25,befunde-werte,Hämatokrit erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/mcv-niedrig/,2026-09-25,befunde-werte,MCV niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/mchc-erhoeht/,2026-09-25,befunde-werte,MCHC erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/akuter-hexenschuss/,2026-09-26,was-jetzt,Was tun bei akutem Hexenschuss,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/ischias-schmerzen/,2026-09-26,was-jetzt,Was tun bei Ischias-Schmerzen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/nackenschmerzen-nach-dem-schlafen/,2026-09-26,was-jetzt,Nackenschmerzen nach dem Schlafen was tun,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/migraene-im-anflug/,2026-09-26,was-jetzt,Was tun bei Migräne im Anflug,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/voellegefuehl-nach-dem-essen/,2026-09-26,was-jetzt,Was tun bei Völlegefühl,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/blaehbauch-am-abend/,2026-09-26,was-jetzt,Was tun bei Blähbauch am Abend,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/muskelverspannungen/,2026-09-26,was-jetzt,Was tun bei Muskelverspannungen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/knieschmerzen-nach-belastung/,2026-09-26,was-jetzt,Knieschmerzen nach Belastung was tun,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/schlafprobleme-heute-nacht/,2026-09-26,was-jetzt,Was tun bei Schlafproblemen akut,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/was-jetzt/leichter-schwindel/,2026-09-26,was-jetzt,Was tun bei leichtem Schwindel,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/koerpersignale/harter-oberbauch-ohne-schmerzen/,2026-09-26,koerpersignale,Harter Oberbauch ohne Schmerzen,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/triglyceride-erhoeht/,2026-09-26,befunde-werte,Triglyceride erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/ldl-erhoeht/,2026-09-26,befunde-werte,LDL erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/hdl-niedrig/,2026-09-26,befunde-werte,HDL niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/kalium-niedrig/,2026-09-26,befunde-werte,Kalium niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/natrium-zu-niedrig/,2026-09-26,befunde-werte,Natrium zu niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/magnesium-zu-niedrig/,2026-09-26,befunde-werte,Magnesium zu niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/ck-erhoeht/,2026-09-26,befunde-werte,CK erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/bsg-erhoeht/,2026-09-26,befunde-werte,Blutsenkung (BSG) erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/tcm-verstehen/meridiane-punkte/akupunkturpunkte/,2026-09-26,tcm-verstehen,Akupunkturpunkte,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/tcm-verstehen/grundlagen/organuhr-leber/,2026-09-26,tcm-verstehen,Organuhr Leber-Zeit,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/tcm-verstehen/grundlagen/wei-qi/,2026-09-26,tcm-verstehen,Wei Qi,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/tcm-verstehen/grundlagen/jing/,2026-09-26,tcm-verstehen,Jing (Essenz),PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/tcm-verstehen/grundlagen/shen/,2026-09-26,tcm-verstehen,Shen (Geist),PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/erythrozyten-erhoeht/,2026-09-26,befunde-werte,Erythrozyten erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/haematokrit-niedrig/,2026-09-26,befunde-werte,Hämatokrit niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/rdw-erhoeht/,2026-09-26,befunde-werte,RDW erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/mch-erhoeht/,2026-09-26,befunde-werte,MCH erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/lipoprotein-a-erhoeht/,2026-09-26,befunde-werte,Lipoprotein(a) erhöht,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/befunde-werte/harnstoff-niedrig/,2026-09-26,befunde-werte,Harnstoff niedrig,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/untersuchungen/,2026-09-26,untersuchungen,Navigation Untersuchungen & Diagnostik,HUB_NAVIGATION_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/untersuchungen/mrt/,2026-09-26,untersuchungen,Was ist ein MRT und was passiert dabei?,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/untersuchungen/ekg/,2026-09-26,untersuchungen,Was ist ein EKG/Langzeit-EKG und was zeigt es?,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
/gesundheitsbibliothek/untersuchungen/grosses-blutbild/,2026-09-26,untersuchungen,Was wird beim grossen Blutbild gemessen?,PRIMARY_OWNER,yes,yes,yes,PENDING_GSC_VERIFICATION
