gsc_reason,old_url,host,current_http_status,current_indexability,current_canonical,classification,action,target_url,reason,future_content_candidate
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/schlafprobleme/zuerich-hoengg,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/schulterbeschwerden,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/skidaumen,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/spannungskopfschmerzen,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/stress-angstzustaende,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/stress-burnout/frauenfeld,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/stress-burnout/zuerich-oerlikon,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/beschwerden/zyklusbeschwerden/kreuzlingen,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Back Pain,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Digestive Issues,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Fertility Support,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Menstrual %26 Cycle Issues,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Neck Pain,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Sleep Problems,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?beschwerde=Stress %26 Burnout,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?standort=St. Gallen,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?standort=Winterthur Marktgasse,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?standort=Z%C3%BCrich Oerlikon,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?therapie=Chinese Herbal Medicine,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?therapie=Electroacupuncture,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?therapie=Facial Acupuncture,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/en/contact/?therapie=Gua Sha,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,"Formular-Prefill-Parameter, kanonisiert korrekt auf die Elternseite; seit 10.09. zusaetzlich per robots.txt gesperrt",nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/therapien/gua-sha/zuerich-oerlikon,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/therapien/moxibustion/zuerich-hoengg,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/therapien/shiatsu/winterthur,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/therapien/tuina/wil,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
Alternative Seite mit richtigem kanonischen Tag,https://tcm.ch/wissen/kinderwunsch-tcm-st-gallen-ostschweiz,tcm.ch,200,bewusst nicht indexierbar,,A,keine Aktion,,bewusst konsolidiertes Duplikat (canonicalTo in [slug].astro),nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/gesundheitsbibliothek/tcm-verstehen/diagnostik/,tcm.ch,200,indexierbar bzw. extern,,E,"Entscheid dokumentiert, noindex beibehalten",,"TCM-verstehen Sektionsseite: Architektur vor Inhalt angelegt; bleibt noindex,follow bis eigenstaendiger Inhalt existiert",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/gesundheitsbibliothek/tcm-verstehen/meridiane-punkte/,tcm.ch,200,indexierbar bzw. extern,,E,"Entscheid dokumentiert, noindex beibehalten",,"TCM-verstehen Sektionsseite: Architektur vor Inhalt angelegt; bleibt noindex,follow bis eigenstaendiger Inhalt existiert",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/gesundheitsbibliothek/tcm-verstehen/muster/,tcm.ch,200,indexierbar bzw. extern,,E,"Entscheid dokumentiert, noindex beibehalten",,"TCM-verstehen Sektionsseite: Architektur vor Inhalt angelegt; bleibt noindex,follow bis eigenstaendiger Inhalt existiert",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/bandscheibenvorfall-hws/,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/bandscheibenvorfall-hws/handout/?print=1,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/bandscheibenvorfall-lws/,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/bandscheibenvorfall-lws/handout/?print=1,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/ischias/,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/ischias/handout/?print=1,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/karpaltunnel/,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/karpaltunnel/handout/?print=1,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
"Durch ""noindex""-Tag ausgeschlossen",https://tcm.ch/visuals/nacken-ausstrahlung/handout/?print=1,tcm.ch,200,bewusst nicht indexierbar,,A,noindex beibehalten,,"Visual Library ist ein Patienten-Kommunikationstool, bewusst noindex,follow",nein
Durch robots.txt-Datei blockiert,https://tcm.ch/?standort=wil,tcm.ch,n/a (robots),bewusst nicht indexierbar,,A,keine Aktion,,"Parameter-Policy vom 10.09.2026, wirkt wie vorgesehen",nein
Gecrawlt – zurzeit nicht indexiert,https://ouch.tcm.ch/mitmachen/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gecrawlt – zurzeit nicht indexiert,https://ouch.tcm.ch/redaktion/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/analfisteln,tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/chemotherapie,tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/ischias,tcm.ch,200,bewusst nicht indexierbar,https://tcm.ch/beschwerden/ischias/,A,keine Aktion,https://tcm.ch/beschwerden/ischias/,"Nicht-Slash-Variante einer lebenden Seite; leitet live korrekt weiter, Export-Stand veraltet",nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/nasenbluten,tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/parkinson,tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/rotatorenmanschette,tcm.ch,200,bewusst nicht indexierbar,https://tcm.ch/beschwerden/rotatorenmanschette/,A,keine Aktion,https://tcm.ch/beschwerden/rotatorenmanschette/,"Nicht-Slash-Variante einer lebenden Seite; leitet live korrekt weiter, Export-Stand veraltet",nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/beschwerden/sodbrennen-reflux,tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/therapien/akupunktur/laserakupunktur/,tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,Akupunkturverfahren-Cluster ist laut Live-Pruefung inzwischen indexiert; Export-Stand veraltet,nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/therapien/akupunktur/schaedelakupunktur/,tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,Akupunkturverfahren-Cluster ist laut Live-Pruefung inzwischen indexiert; Export-Stand veraltet,nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/therapien/akupunktur/verfahren/,tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,Akupunkturverfahren-Cluster ist laut Live-Pruefung inzwischen indexiert; Export-Stand veraltet,nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/therapien/akupunktur/ynsa/,tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,Akupunkturverfahren-Cluster ist laut Live-Pruefung inzwischen indexiert; Export-Stand veraltet,nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/therapien/gua-sha/basel,tcm.ch,200,entfernt,,D,410 beibehalten,,"Doorway-Kombination, bewusst entfernt",nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/therapien/physiotherapie/zuerich-hoengg,tcm.ch,200,entfernt,,D,410 beibehalten,,"Doorway-Kombination, bewusst entfernt",nein
Gecrawlt – zurzeit nicht indexiert,https://tcm.ch/wissen/akupunktur-winterthur-kosten-krankenkasse,tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gecrawlt – zurzeit nicht indexiert,https://www.tcm.ch/standorte/,www.tcm.ch,200,entfernt,,D,410/404 beibehalten,,historische Seite ohne verifizierten Nachfolger,ja
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/90-minuten-heuschnupfen/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/acu-land-nach-der-behandlung/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/akupunktur-nebenwirkungen/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/akupunktur-schwangerschaft/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/archaik-check-blutegel-bienengift-baunscheidt/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/aristolochia-kapitel/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/blutiges-schroepfen-kantonschaos/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/dinge-die-patienten-fragen/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/dolmetscher-luecke/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/elektroakupunktur/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/emr-asca-labyrinth/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/erstgespraech-bingo/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/gua-sha-jugendamt/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/kantons-lotterie/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/moxa-und-der-rauchmelder/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/nadelphobie/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/ohrakupunktur-nada/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/pulsdiagnose-28-geschichten/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
Gefunden – zurzeit nicht indexiert,https://ouch.tcm.ch/insights/schroepfen-kreise/,ouch.tcm.ch,200,indexierbar bzw. extern,,E,keine Aktion,,"OUCH. ist eine eigene Publikation auf einer Subdomain; Google-Discovery/Quality-Wait, kein technischer Defekt",nein
